participant_ID,target_y,validity,trial,phase,response,rt,Participant
P104,-0.31,valid,51,exhale,correct,0.36801170000399003,P104
P104,-0.31,invalid,52,exhale,correct,0.544151599999168,P104
P104,-0.31,valid,53,exhale,correct,0.371312300005229,P104
P104,10,catch,54,exhale,correct,NA,P104
P104,0.31,invalid,55,exhale,correct,0.376906500008772,P104
P104,-0.31,valid,56,exhale,correct,0.37066159999813,P104
P104,0.31,valid,57,exhale,correct,0.36091660000965903,P104
P104,-0.31,invalid,58,exhale,correct,0.336630199992214,P104
P104,0.31,invalid,59,exhale,correct,0.503333000000566,P104
P104,10,catch,0,inhale,correct,NA,P104
P104,10,catch,1,inhale,correct,NA,P104
P104,0.31,invalid,2,inhale,correct,0.436159299992141,P104
P104,0.31,invalid,3,inhale,correct,0.389858299997286,P104
P104,-0.31,valid,4,inhale,correct,0.367296800002805,P104
P104,-0.31,invalid,5,inhale,correct,0.361421499997959,P104
P104,0.31,valid,6,inhale,correct,0.281622900001821,P104
P104,-0.31,invalid,7,inhale,correct,0.284178000001702,P104
P104,-0.31,valid,8,inhale,correct,0.311972900002729,P104
P104,-0.31,invalid,9,inhale,correct,0.250229500001296,P104
P104,0.31,invalid,10,inhale,correct,0.303495100000873,P104
P104,-0.31,invalid,11,inhale,correct,0.352818599989405,P104
P104,0.31,valid,12,inhale,correct,0.313998199999332,P104
P104,10,catch,13,inhale,incorrect,0.273493400003645,P104
P104,-0.31,invalid,14,inhale,correct,0.415689200002817,P104
P104,-0.31,valid,15,inhale,correct,0.360202000010759,P104
P104,10,catch,16,inhale,correct,NA,P104
P104,10,catch,17,inhale,correct,NA,P104
P104,0.31,invalid,18,inhale,correct,0.389110099989921,P104
P104,10,catch,19,inhale,correct,NA,P104
P104,0.31,invalid,20,inhale,correct,0.368867400000454,P104
P104,-0.31,valid,21,inhale,correct,0.330600599991158,P104
P104,0.31,valid,22,inhale,correct,0.382137000007788,P104
P104,-0.31,invalid,23,inhale,correct,0.386502900000778,P104
P104,0.31,valid,24,inhale,correct,0.34318899999198,P104
P104,-0.31,invalid,25,inhale,correct,0.267975599999772,P104
P104,-0.31,valid,26,inhale,correct,0.345234399996116,P104
P104,0.31,valid,27,inhale,correct,0.346192400000291,P104
P104,10,catch,28,inhale,incorrect,0.29480770000373,P104
P104,0.31,valid,29,inhale,correct,0.374637400003849,P104
P104,0.31,valid,30,inhale,correct,0.477163899995503,P104
P104,-0.31,valid,31,inhale,correct,0.335805199996685,P104
P104,0.31,valid,32,inhale,correct,0.324171800006297,P104
P104,-0.31,invalid,33,inhale,correct,0.328351099989959,P104
P104,10,catch,34,inhale,correct,NA,P104
P104,0.31,valid,35,inhale,correct,0.486973999999464,P104
P104,-0.31,invalid,36,inhale,correct,0.412001499993494,P104
P104,0.31,invalid,37,inhale,correct,0.359934399995836,P104
P104,0.31,invalid,38,inhale,correct,0.341757299989695,P104
P104,0.31,valid,39,inhale,correct,0.333600600002683,P104
P104,0.31,invalid,40,inhale,correct,0.366051200006041,P104
P104,10,catch,41,inhale,correct,NA,P104
P104,-0.31,valid,42,inhale,correct,0.456870999987586,P104
P104,10,catch,43,inhale,correct,NA,P104
P104,0.31,invalid,44,inhale,correct,0.477702300006058,P104
P104,0.31,invalid,45,inhale,correct,0.321660899993731,P104
P104,0.31,valid,46,inhale,correct,0.407406099999207,P104
P104,-0.31,valid,47,inhale,correct,0.360853199992562,P104
P104,-0.31,invalid,48,inhale,correct,0.306469000002835,P104
P104,10,catch,49,inhale,correct,NA,P104
