participant_ID,position,trial,phase,response,rt
P105,up,12,inhale,correct,0.286750400000528
P105,catch,13,exhale,correct,NA
P105,down,14,inhale,correct,0.365445200000977
P105,right,15,exhale,correct,0.367436099999395
P105,right,16,inhale,correct,0.380263499999273
P105,left,17,exhale,correct,0.354739700000209
P105,left,18,inhale,correct,0.36784809999881
P105,down,19,exhale,correct,0.353850100000273
P105,left,20,inhale,correct,0.37686819999908
P105,down,21,exhale,correct,0.342644799999107
P105,right,22,inhale,correct,0.554082000000562
P105,up,23,inhale,correct,0.289061100000254
P105,catch,24,exhale,correct,NA
P105,catch,25,inhale,correct,NA
P105,up,26,exhale,correct,0.369854200000191
P105,left,27,exhale,correct,0.340212999999494
P105,right,28,inhale,correct,0.394598099999712
P105,down,29,exhale,correct,0.440174000001207
P105,down,30,inhale,correct,0.46898610000062
P105,left,31,exhale,correct,0.420254699998623
P105,up,32,inhale,correct,0.453842199998689
P105,right,33,exhale,correct,0.325529599998845
P105,left,34,inhale,correct,0.407234300000709
P105,right,35,exhale,correct,0.371454199999789
P105,down,36,exhale,correct,0.468817400000262
P105,catch,37,inhale,correct,NA
P105,catch,38,exhale,correct,NA
P105,up,39,exhale,correct,0.496937300000354
P105,right,40,exhale,correct,0.463723400000163
P105,left,41,inhale,correct,0.534134499999709
P105,up,42,inhale,correct,0.378751299998839
P105,down,43,exhale,correct,0.368128899999647
P105,up,44,exhale,correct,0.389856499999951
P105,catch,45,inhale,correct,NA
P105,down,46,exhale,correct,0.383886599998732
P105,catch,47,inhale,correct,NA
P105,left,48,inhale,correct,0.451183699999092
P105,right,49,exhale,correct,0.5242429000009
P105,right,50,inhale,correct,0.417019599999549
P105,catch,51,exhale,correct,NA
P105,catch,52,exhale,correct,NA
P105,up,53,exhale,correct,0.391760599999543
P105,down,54,inhale,correct,0.381286600000749
P105,right,55,exhale,correct,0.497221899999204
P105,left,56,inhale,correct,0.645089899999221
P105,left,57,exhale,correct,0.367142400000375
P105,down,58,inhale,correct,0.479972999999518
P105,up,59,exhale,correct,0.413236700000198
P106,left,0,inhale,correct,0.434404599996924
P106,right,1,exhale,correct,0.372174500000256
P106,right,2,inhale,correct,0.534270799998922
P106,down,3,exhale,correct,0.331920599997829
P106,left,4,exhale,correct,0.393329800001084
P106,up,5,inhale,correct,0.554925699998421
P106,down,6,exhale,correct,0.422539099999995
P106,catch,7,inhale,correct,NA
P106,up,8,inhale,correct,0.40490040000077
P106,catch,9,exhale,correct,NA
P106,right,10,exhale,correct,0.43749200000093
P106,down,11,inhale,correct,0.56865050000124
P106,left,12,exhale,correct,0.453351500000281
P106,down,13,inhale,correct,0.535125599999446
P106,left,14,exhale,correct,0.835750300000655
P106,catch,15,inhale,correct,NA
P106,up,16,exhale,correct,0.364184599999135
P106,catch,17,inhale,correct,NA
P106,up,18,inhale,correct,0.379637999998522
P106,right,19,exhale,correct,0.666998199998488
P106,right,20,inhale,correct,0.523881200002506
P106,up,21,exhale,correct,0.63252840000132
P106,catch,22,inhale,correct,NA
P106,down,23,exhale,correct,0.506172199999128
P106,up,24,inhale,correct,0.765207399999781
P106,left,25,exhale,correct,0.779290999998921
P106,left,26,inhale,correct,0.69605220000085
P106,right,27,exhale,correct,0.497677100000146
P106,catch,28,inhale,correct,NA
P106,down,29,exhale,correct,0.440130200000567
P106,up,30,inhale,correct,0.523777999998856
P106,up,31,exhale,correct,0.813721200000145
P106,left,32,inhale,correct,0.685994899999059
P106,catch,33,exhale,correct,NA
P106,right,34,exhale,correct,0.543440800000099
P106,down,35,inhale,correct,0.886812599997938
P106,left,36,exhale,correct,0.586072500002047
P106,down,37,inhale,correct,0.724378599999909
